District,Crop,Crop_Group,Production_MT,Rainfall_2020_mm,Rainfall_2021_mm,Avg_Rainfall_mm,Rabi_Rainfall,Kharif_Rainfall,Season,Water_Min,Water_Max,Temp_Min,Temp_Max,Soil_Type,District_Soil,District_Temp_Min,District_Temp_Max,Water_Score,Temp_Score,Soil_Score,Suitability_Score,Production_Log,Productivity_Score,ML_Prediction,Final_Score,Productivity_Class
Ariyalur,maize,Millets,114107,1064.4,220.7,642.5500000000001,449.785,192.765,Kharif,500,800,18,27,loam,loam,20.0,35.0,0.4751666666666669,0.7777777777777778,1.0,0.6557861111111112,11.644900647327445,0.8506050358383895,0.825,0.7234716666666667,2
Ariyalur,jowar,Millets,25,1064.4,220.7,642.5500000000001,449.785,192.765,Kharif,400,700,25,35,sandy,loam,20.0,35.0,0.8085000000000002,1.0,0.6,0.8146750000000001,3.258096538021482,0.1697674875294181,0.0,0.48880500000000005,0
Ariyalur,bajra,Millets,3383,1064.4,220.7,642.5500000000001,449.785,192.765,Kharif,300,600,25,35,sandy,loam,20.0,35.0,1.0,1.0,0.6,0.92,8.126813720726114,0.05,0.765,0.8580000000000001,0
Ariyalur,ragi,Millets,33,1064.4,220.7,642.5500000000001,449.785,192.765,Kharif,350,750,20,30,loam,loam,20.0,35.0,0.7313750000000002,1.0,1.0,0.8522562500000002,3.5263605246161616,0.1322436449827121,0.015,0.5173537500000001,0
Chengalpattu,maize,Millets,11,972.372277227723,172.5,572.4361386138614,400.705297029703,171.7308415841584,Kharif,500,800,18,27,loam,loam,19.5,35.0,0.2414537953795381,0.8333333333333334,1.0,0.5411329207920793,2.4849066497880004,0.05,0.015,0.33067975247524756,0
Chengalpattu,ragi,Millets,364,972.372277227723,172.5,572.4361386138614,400.705297029703,171.7308415841584,Kharif,350,750,20,30,loam,loam,19.5,35.0,0.5560903465346536,1.0,1.0,0.7558496905940595,5.899897353582492,0.4103959064347977,0.045,0.4715098143564357,1
Tiruvallur,maize,Millets,69,1229.0,139.0,684.0,478.8,205.2,Kharif,500,800,18,27,loam,loam,19.5,35.0,0.6133333333333333,0.8333333333333334,1.0,0.7456666666666667,4.248495242049359,0.1637683756264042,0.01,0.4514,0
Tiruvallur,jowar,Millets,8,1229.0,139.0,684.0,478.8,205.2,Kharif,400,700,25,35,sandy,loam,19.5,35.0,0.9466666666666667,1.0,0.6,0.8906666666666667,2.19722457733622,0.0605262143144866,0.025,0.5444,0
Tiruvallur,ragi,Millets,1311,1229.0,139.0,684.0,478.8,205.2,Kharif,350,750,20,30,loam,loam,19.5,35.0,0.835,1.0,1.0,0.9092499999999999,7.179307969504034,0.5603286784067261,0.055,0.5675499999999999,1
Cuddalore,maize,Millets,181193,1323.4,342.2,832.8000000000001,582.96,249.84,Kharif,500,800,18,27,loam,loam,20.0,35.0,1.0,0.7777777777777778,1.0,0.9444444444444444,12.10732355946,0.8935460309801619,0.99,0.9626666666666667,2
